Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d2_t5_80uL_r2,419.92,421.5495124116393,1.6295124116392685,0.38805306049706334,1,1291509.5,0.001239
d2_t5_80uL_r3,614.27,633.6712224034176,19.40122240341759,3.158419327562406,1,1293570.5,0.001237
d2_t5_80uL_r4,211.91,223.38714364956274,11.477143649562748,5.416046269436435,1,1298914.5,0.001232
d2_t5_80uL_r5,355.17,408.47446615560915,53.304466155609134,15.008155574966672,1,1300636.5,0.00123
d2_t6_0uL_r1,639.52,743.2765726437248,103.75657264372478,16.224132575013257,1,1245228.0,0.001285
d2_t6_0uL_r2,659.52,696.9546259898672,37.434625989867186,5.676041058628576,1,1253261.5,0.001277
d2_t6_0uL_r3,528.46,620.5736202170705,92.11362021707043,17.430575675939604,1,1244987.5,0.001285
d2_t6_0uL_r4,448.67,494.337830460704,45.66783046070401,10.178489861302072,1,1253874.5,0.001276
d2_t6_0uL_r5,1065.27,1046.5916809171704,18.678319082829603,1.7533882567639756,1,1245570.0,0.001285
d2_t6_0uL_r6,1176.27,1240.4578976597536,64.18789765975362,5.456901702819388,1,1255957.5,0.001274
d2_t6_0uL_r7,1167.91,1216.3818575968007,48.471857596800646,4.150307609045273,1,1247795.0,0.001282
d3_t2_100uL_r1,1240.28,1268.0532926731796,27.77329267317964,2.2392760242186958,1,1301192.0,0.00123
d3_t2_100uL_r2,1423.62,1452.6551604825324,29.035160482532547,2.0395302456085576,1,1278877.5,0.001251
d3_t2_100uL_r3,1892.28,1905.6426547198776,13.362654719877582,0.7061668843869608,1,1298201.0,0.001232
d3_t2_100uL_r4,1821.74,1962.2328980856007,140.4928980856007,7.7120169774831036,1,1288576.5,0.001242
d3_t2_100uL_r5,1840.43,1870.2206092642086,29.79060926420857,1.6186765736381483,1,1267512.5,0.001262
d3_t2_20uL_r1,1845.86,1980.5946044078594,134.73460440785948,7.299286208480573,1,1272409.0,0.001257
d3_t2_20uL_r2,1989.54,2094.5753916421454,105.03539164214544,5.279380743395229,1,1299209.0,0.001232
d3_t2_20uL_r3,2054.12,2197.9863813563493,143.8663813563494,7.003796338887184,1,1310923.5,0.001221
d3_t2_20uL_r4,1943.47,1952.3925501100773,8.922550110077282,0.45910408239269357,1,1294999.0,0.001236
d3_t2_20uL_r5,1810.8,1948.800628530633,138.0006285306331,7.620975730651265,1,1275355.5,0.001255
d3_t2_40uL_r1,1916.62,2047.391003096504,130.77100309650405,6.823001069408859,1,1293878.5,0.001237
d3_t2_40uL_r2,1175.19,1245.3103808847513,70.12038088475128,5.966727157715032,1,1281490.0,0.001249
d3_t2_40uL_r3,1711.6,1751.6455709849095,40.045570984909546,2.3396571035820024,1,1298607.0,0.001232
d3_t2_40uL_r4,1406.02,1404.9474303079355,1.0725696920644623,0.07628409923503665,1,1309690.0,0.001222
d3_t2_40uL_r5,1556.53,1602.0818888194528,45.55188881945287,2.9265024650634985,1,1285755.5,0.001244
d3_t2_60uL_r1,1885.4,1836.3858263808077,49.014173619192434,2.599669758098676,1,1269203.0,0.001261
d3_t2_60uL_r2,1656.85,1692.5798992848313,35.72989928483139,2.1564957168622017,1,1306754.5,0.001224
d3_t2_60uL_r3,1552.64,1571.2695858569778,18.629585856977656,1.1998651237233136,1,1265613.5,0.001264
d3_t2_60uL_r4,1989.96,2018.567889024054,28.607889024053975,1.4376112597265258,1,1286080.5,0.001244
d3_t2_60uL_r5,1552.61,1637.9093285863537,85.2993285863538,5.493931417828933,1,1283061.5,0.001247
d3_t2_80uL_r1,1762.39,1846.356029212807,83.96602921280692,4.764327374349997,1,1268005.5,0.001262
d3_t2_80uL_r2,1638.96,1767.9948323422534,129.03483234225337,7.872970197091654,1,1279496.5,0.00125
d3_t2_80uL_r3,1591.15,1550.582466560662,40.56753343933815,2.5495731665360366,1,1283593.0,0.001247
d3_t2_80uL_r4,1761.64,1620.7075976363917,140.9324023636084,8.00006825251518,1,1279569.0,0.00125
d3_t2_80uL_r5,1921.48,2036.8682379362963,115.38823793629626,6.005175070065588,1,1290379.0,0.00124
